,question,ref_answer,pred_answer,bleu_score,train_data
209,Whom did the ministers of King Janamejaya ask for a bride?,"The ministers of King Janamejaya went to Suvarnavarman, the king of Kasi, and asked him for his daughter Vapushtama as a bride.","The ministers of King Janamejaya asked for a bride, and the ",{'google_bleu': 0.24468085106382978},False
210,What did Jaratkaru see when he was wandering over the earth?,"Jaratkaru saw the spirits of his ancestors hanging by a cord of virana roots in a hole, being gradually eaten away by a large rat dwelling in that hole.",Jaratkaru saw the emaciated and lean-fleet,{'google_bleu': 0.05084745762711865},False
211,How did Jaratkaru offer to help the pitiable spirits of his ancestors?,"Jaratkaru offered to avert the calamity by sacrificing a part or even the whole of his asceticism, as requested by the spirits of his ancestors.",Jaratkaru offered to help the pitiable spirits of his ancestors by,{'google_bleu': 0.17647058823529413},True
212,Why did Jaratkaru feel pity for the spirits of his ancestors?,"Jaratkaru felt pity for the spirits of his ancestors because they were hanging by a weak cord of virana roots, being gradually eaten away by a rat, and were eagerly desiring salvation.",Jaratkaru felt pity for the spirits of his ancestors because they,{'google_bleu': 0.2835820895522388},True
213,Why did the Muni wander over the earth and weep loudly in the forest?,The Muni wandered over the earth and wept loudly in the forest because he was old and had not been successful in finding a wife.,The Muni wandered over the earth and wept loudly in the forest.,{'google_bleu': 0.4387755102040816},True
214,Who did the Muni ask for a bride and why?,The Muni asked for a bride from the creatures in the forest because his ancestors had directed him to marry for the acquisition of a son.,"The Muni asked for a bride from the Pitris, who was old and ",{'google_bleu': 0.2549019607843137},True
215,Who informed Vasuki about the Muni's desire for a bride?,The snakes that had been set upon Jaratkaru's track informed Vasuki about the Muni's inclination and desire for a bride.,Vasuki informed Vasuki that the Muni had a desire for a bride,{'google_bleu': 0.20512820512820512},True
216,How did Vasuki respond when he heard about the Muni's desire for a bride?,"Vasuki took a maiden, who was decked with ornaments, and went into the forest to offer her as alms to the Rishi.",Vasuki was moved by the desire of doing good to his ancestors and ,{'google_bleu': 0.05319148936170213},True
217,Why did the Rishi hesitate to accept the maiden offered by Vasuki?,The Rishi hesitated to accept the maiden because he realized she did not have the same name as him and the question of her maintenance was unsettled.,The Rishi hesitated to accept the maiden offered by Vasuki.,{'google_bleu': 0.2169811320754717},True
218,"How did the sister of the king of the snakes serve her husband, the great Muni?","The sister of the king of the snakes served her husband with the wakefulness of a dog, the timidity of a deer, and knowledge of signs possessed by the crow.",The sister of the king of the snakes served her husband with the wakefulness of ,{'google_bleu': 0.42857142857142855},False
219,"What happened when the sister of Vasuki approached her husband, the Muni, after her menstrual period?","After her menstrual period, the sister of Vasuki approached her husband, and she conceived.","The sister of Vasuki approached her husband, the Muni, after her menstrual",{'google_bleu': 0.45161290322580644},True
220,How did the embryo grow inside the sister of Vasuki?,"The embryo inside the sister of Vasuki grew like a flame of fire, possessed of great energy, and resplendent as fire itself, growing like the moon in the bright fortnight.","The embryo grew inside the sister of Vasuki, which was a crow",{'google_bleu': 0.15384615384615385},False
221,What dilemma did the sister of Vasuki face regarding waking her husband from sleep?,"The sister of Vasuki was faced with the dilemma of waking her husband or not, as she feared the loss of her husband's virtue. She weighed the options of angering him or risking the loss of his virtue.",The sister of Vasuki faced a dilemma regarding waking her husband from sleep.,{'google_bleu': 0.12025316455696203},True
222,"What did Jaratkaru's husband, the ascetic, say to him when asked about offspring?","When asked about offspring, Jaratkaru's husband, the ascetic, said, ""There is,"" and then he went away.","Jaratkaru's husband, the ascetic, said to him, '",{'google_bleu': 0.25555555555555554},True
223,"Why does Jaratkaru believe that his husband, the ascetic, would not speak falsely about the intended result of their union?","Jaratkaru believes that his husband, the ascetic, would not speak falsely on such a serious occasion because he had never spoken anything false before, not even in jest.","Jaratkaru believes that his husband, the ascetic, would not speak falsely",{'google_bleu': 0.3770491803278688},True
224,"How did Vasuki, the king of snakes, respond to his sister's consolation?","Vasuki, the king of snakes, accepted his sister's words and expressed great joy, saying, ""Be it so!"" He then adored his sister with his best regards, gifts of wealth, and fitting eulogies.","Vasuki, the king of snakes, responded to his sister's conso",{'google_bleu': 0.15432098765432098},True
225,"How did Parikshit, the father of Janamejaya, conduct himself on earth?","Parikshit, the father of Janamejaya, conducted himself on earth like an impersonation of virtue and justice. He protected the four orders and was aware of virtue, virtuously protecting everyone engaged in their respective duties. He was of incomparable prowess, protected the goddess Earth, and harbored no hatred towards anyone.","Parikshit, the father of Janamejaya, acted like an im",{'google_bleu': 0.11261261261261261},True
226,How did Parikshit treat different social classes and marginalized groups?,"Parikshit impartially protected Brahmanas, Kshatriyas, Vaisyas, Sudras, widows, orphans, the maimed, and the poor. He cherished his subjects, maintained their well-being, and was like a second Soma to all creatures.",Parikshit treated different social classes and marginalized groups with respect and dignity.,{'google_bleu': 0.02531645569620253},True
227,What was Parikshit's expertise and association?,"Parikshit was well-versed in the interpretation of treatises on the duties of kings, and he was a disciple of Saradwat in the science of arms. He was also dear to Govinda (another name for Lord Krishna) and was loved by all men.",Parikshit's expertise and association with the four orders was a great deal of,{'google_bleu': 0.03296703296703297},True
228,How long did Parikshit rule his subjects?,"Parikshit ruled over his subjects for sixty years with immense prowess. He possessed a retentive memory, practiced all virtues, and had a deep understanding of morality and political science.",Parikshit ruled his subjects for a long time.,{'google_bleu': 0.0873015873015873},True
229,How did Janamejaya come to acquire the kingdom of the Kurus?,"Janamejaya, the son of Parikshit, acquired the hereditary kingdom of the Kurus as a child and has been protecting every creature for the last thousand years.",Janamejaya came to acquire the kingdom of the Kurus by acquiring the ,{'google_bleu': 0.11818181818181818},True
230,Who cursed Janamejaya's father and why?,"The son of the insulted Rishi cursed Janamejaya's father because he was offended by the insult. The Rishi's son was young in years but possessed powerful ascetic splendor, and he cursed Janamejaya's father in anger, directing the snake Takshaka to burn him with his poison.","Janamejaya's father cursed him because he was young and powerful,",{'google_bleu': 0.08421052631578947},True
231,How did the Rishi's son inform Janamejaya's father about the curse?,"The Rishi's son sent his disciple named Gaurmukha to inform Janamejaya's father about the curse. Gaurmukha, possessing amiable manners and every virtue, delivered the message to the king, warning him about the curse and the impending danger from the snake Takshaka.",The Rishi's son informed Janamejaya's father about the curse.,{'google_bleu': 0.1348314606741573},False
232,What precaution did Janamejaya's father take after hearing about the curse?,"After hearing about the curse and the imminent danger from Takshaka, Janamejaya's father took every precaution against the powerful snake. The specific precautions and measures taken are not mentioned in the given text.",Janamejaya's father took the precaution of not letting the snake Taks,{'google_bleu': 0.07971014492753623},True
233,Who is Takshaka and what was his role in the curse?,Takshaka is a snake known for his powerful energy and virulent poison. He was directed by the curse of the Rishi's son to burn Janamejaya's father with his poison within seven nights. Takshaka played the role of executing the curse on behalf of the Rishi's son.,"Takshaka is a snake of powerful energy and virulent poison, who is",{'google_bleu': 0.13157894736842105},True
234,How did Takshaka harm Janamejaya's father?,"Takshaka approached Janamejaya's father in disguise and blasted him with the fire of his poison, causing harm to the virtuous king while he was staying in his mansion with all precautions.","Takshaka, approaching in disguise, blasted Janamejaya's",{'google_bleu': 0.05555555555555555},True
235,Why did Takshaka want to prevent Kasyapa from resuscitating Janamejaya's father?,"Takshaka feared that if Kasyapa were to resuscitate the king bitten by him, it would neutralize the poison and make him an object of ridicule in the world. He thought that the neutralization of his poison would diminish his reputation.",Takshaka wanted to prevent Kasyapa from resuscitating Janame,{'google_bleu': 0.018072289156626505},True
236,How did Janamejaya plan to punish Takshaka?,"Janamejaya devised a plan to punish Takshaka for his actions. He wanted to know the details of what transpired between Takshaka and Kasyapa in the deep solitude of the forest. Once he had gathered this information, he would devise a means to exterminate the snake race.",Janamejaya planned to punish Takshaka by destroying his virt,{'google_bleu': 0.041237113402061855},True
237,What did Janamejaya want to know from his ministers?,"Janamejaya wanted to know when his ministers learned about the events that took place when the banian tree was reduced to ashes by Takshaka and later revived by Kasyapa. He was curious about the details they saw or heard, including the words of Takshaka and the speeches of Kasyapa in the deep solitude of the forest.",Janamejaya wanted to know what he had learned from his ministers.,{'google_bleu': 0.06521739130434782},True
238,What did the king ask the Brahmanas after thinking that Takshaka was already burnt?,The king asked the Brahmanas versed in mantras to tell him the necessary preparations for the sacrifice.,"The king asked the Brahmanas to pray for Takshaka, who",{'google_bleu': 0.24242424242424243},True
239,What did the Ritwiks do to measure the land for the sacrificial platform?,"The Ritwiks, who were well-versed in the Vedas and acquainted with the rites of the sacrifice, measured the land for the sacrificial platform according to the scriptures.",The Ritwiks measured the land for the sacrificial platform and ,{'google_bleu': 0.22807017543859648},True
240,Who sat on the constructed sacrificial platform?,"The Ritwika, who had been appointed for the ritual, sat on the constructed sacrificial platform.",The sacrificial priests sat on the constructed sacrificial,{'google_bleu': 0.22727272727272727},True
241,What incident occurred before the commencement of the snake-sacrifice?,"A professional builder, who was knowledgeable about laying foundations and well-acquainted with the Puranas, foretold that the sacrifice would not be completed due to a Brahmana becoming the reason for obstruction.","The sacrificial priests, competent in their respective duties according to the ordinance,",{'google_bleu': 0.03076923076923077},True
242,What orders did the king give to his gate-keepers?,The king ordered his gate-keepers not to admit anybody without his knowledge.,"The king gave orders to his gate-keepers, a sacrificial",{'google_bleu': 0.15217391304347827},True
243,What was the suggestion given by Brahman to relieve the snakes?,"Brahman suggested that Jaratkaru would marry a woman named Jaratkaru, and the Brahmana born from their union would relieve the snakes.",Brahman suggested that Vasuki relieve the snakes by taking a wife of the,{'google_bleu': 0.16279069767441862},False
244,What did Vasuki request from Astika to protect him and his brother?,"Vasuki requested Astika, who was born from his marriage, to protect him and his brother from the fire during the sacrifice, ensuring the fulfillment of the purpose for which Vasuki was bestowed upon Astika's father.",Vasuki requested Astika to protect him and his brother from the curse of his mother,{'google_bleu': 0.22666666666666666},False
245,What assurance did Astika give to Vasuki regarding the fulfillment of his resolve?,"Astika assured Vasuki that he would relieve him from the curse and strive earnestly to ensure a positive outcome, emphasizing that his speech had never proved false, even in jest.",Astika assured Vasuki that his resolve would be fulfilled by the Brahmana,{'google_bleu': 0.1111111111111111},True
246,How did Vasuki describe his condition when speaking to Astika?,"Vasuki mentioned that his head was swimming and his heart was breaking, and he was unable to discern the points of the earth due to being afflicted with a mother's curse.",Vasuki described his condition when speaking to Astika.,{'google_bleu': 0.031746031746031744},True
247,How does Astika compare Janamejaya's sacrifice to the sacrifices performed by other deities and kings?,"Astika compares Janamejaya's sacrifice to the sacrifices of Soma, Varuna, Prajapati, Sakra, Yama, Harimedha, Rantideva, Maya, Sasavindu, Vaisravana, Nriga, Ajamida, the son of Dasaratha, and Krishna (Dwaipayana), stating that his sacrifice is equal or superior to those of the mentioned deities and kings.",Astika compares Janamejaya's sacrifice to the sacrifices performed by,{'google_bleu': 0.09401709401709402},False
248,Who does Astika consider as the chief priest of Janamejaya's sacrifice?,"Astika considers Dwaipayana (Krishna), the son of Satyavati, as the chief priest of Janamejaya's sacrifice.","Astika considers the king, the Sadasyas, the Rit",{'google_bleu': 0.10810810810810811},True
249,What is Astika's opinion about the Ritwiks (priests) and Sadasyas (members) participating in Janamejaya's sacrifice?,"Astika believes that the Ritwiks and Sadasyas engaged in Janamejaya's sacrifice are of great splendor and equal to the sun, and there is no other Ritwik in all the worlds equal to Dwaipayana, Janamejaya's Ritwik.",Astika's opinion about the Ritwiks (priests) and,{'google_bleu': 0.0273972602739726},True
250,How does Astika praise Janamejaya's rule as a monarch?,"Astika praises Janamejaya as a monarch who excels in protecting his subjects and exhibits abstinence, suggesting that he could be either Varuna or Yama, the god of Justice.",Astika praises Janamejaya's rule as a monarch.,{'google_bleu': 0.0847457627118644},True
251,What does Astika assure Janamejaya regarding the fulfillment of his resolve and the success of the sacrifice?,"Astika assures Janamejaya that he will strive earnestly to fulfill his resolve and guarantees the success of the sacrifice, emphasizing that his resolve has never been unfulfilled, even in jest.",Astika assures Janamejaya that the sacrifice will be successful and that the,{'google_bleu': 0.1349206349206349},True
252,Who appeared at the sacrifice when the Hotri began pouring clarified butter into the fire?,"Indra, accompanied by the gods, celestial singers, and celestial dancing girls, appeared at the sacrifice.",The Ritwiks appeared at the sacrifice when the Hotri began pouring clarified,{'google_bleu': 0.14864864864864866},True
253,What did King Janamejaya urge the Hotri to do when he became sorry about Takshaka?,"King Janamejaya urged the Hotri, the Brahmana performing the sacrifice, to do his duty.",King Janamejaya urged the Hotri to take a deep breath and to,{'google_bleu': 0.24193548387096775},True
254,What did King Janamejaya instruct his mantra-knowing Brahmanas to do in order to destroy Takshaka?,"King Janamejaya instructed his mantra-knowing Brahmanas to cast Takshaka, if he was in the abode of Indra, into the fire along with Indra himself.",King Janamejaya instructed his mantra-knowing Brahmanas to destroy,{'google_bleu': 0.21568627450980393},True
255,Who requested a boon from King Janamejaya after the sacrifice was performed successfully?,"The Ritwiks (priests) requested a boon from King Janamejaya on behalf of the first Brahmana, who was involved in the sacrifice.",King Janamejaya requested a boon from King Janamejaya after,{'google_bleu': 0.19148936170212766},True
256,Which snakes born of Vasuki fell into the fire during the sacrifice?,"Kotisa, Manasa, Purna, Cala, Pala Halmaka, Pichchala, Kaunapa, Cakra, Kalavega, Prakalana, Hiranyavahu, Carana, Kakshaka, Kaladantaka, and others born in the race of Vasuki fell into the fire.",The snakes born of Vasuki fell into the fire during the sacrifice.,{'google_bleu': 0.12962962962962962},True
257,Which snakes born in the race of Takshaka fell into the fire?,"Puchchandaka, Mandalaka, Pindasektri, Ravenaka, Uchochikha, Carava, Bhangas, Vilwatejas, Virohana, Sili, Salakara, Muka, Sukumara, Pravepana, Mudgara, Sisuroman, Suroman, and Mahahanu, born in the race of Takshaka, fell into the fire.",The snakes born in the race of Takshaka fell into the fire.,{'google_bleu': 0.16842105263157894},True
258,Which snakes born in the race of Airavata fell into the fire?,"Paravata, Parijata, Pandara, Harina, Krisa, Vihanga, Sarabha, Meda, Pramoda, and Sauhatapana, born in the race of Airavata, fell into the fire.",The snakes born in the race of Airavata fell into the fire.,{'google_bleu': 0.25396825396825395},True
259,Which snakes born in the race of Kauravya fell into the fire?,"Eraka, Kundala Veni, Veniskandha, Kumaraka, Vahuka, Sringavera, Dhurtaka, Pratara, and Astaka, born in the race of Kauravya, fell into the fire.",The snakes born in the race of Kauravya fell into the fire.,{'google_bleu': 0.26229508196721313},True
260,What was the response of the king when repeatedly urged by his Sadasyas regarding Astika's request?,"The king said, 'Let it be done as Astika hath said. Let the sacrifice be ended, let the snakes be safe, let this Astika also be gratified.'",The king was repeatedly urged by his Sadasyas regarding Astika,{'google_bleu': 0.031746031746031744},True
261,How did the king express his joy and gratitude after the completion of the sacrifice?,"The king bestowed money by hundreds and thousands to the Ritwiks, Sadasyas, and all who had come there. He also gave much wealth, various things, food, and apparel to Suta Lohitaksha, who had predicted the interruption caused by a Brahmana. The king became very much pleased with them.",The king expressed his joy and gratitude after the completion of the sacrifice.,{'google_bleu': 0.03153153153153153},True
262,How did Astika feel after achieving his great end and gratifying the king?,"Astika returned home in great joy, having achieved his great end after gratifying the monarch. He recounted everything that had happened to his uncle and mother, expressing his joy.",Astika felt gratified and enlightened after gratifying the king,{'google_bleu': 0.06349206349206349},True
263,What history does Saunaka desire to hear from Sauti?,"Saunaka desires to hear the history composed by Vyasa, known as the Mahabharata.",Saunaka desires to hear from Sauti the history composed by Vyasa.,{'google_bleu': 0.46296296296296297},True
264,What did Vyasa recite during the intervals of the sacrifice?,Vyasa recited the wonderful and great history called the Bharata.,Vyasa recited the history composed by Vyasa during the,{'google_bleu': 0.21052631578947367},True
265,What is the request of Saunaka regarding the Mahabharata?,"Saunaka desires to hear the Mahabharata in its entirety as recited by Vyasa, as he is still thirsty for more knowledge.",Saunaka requests Saunaka to recite to him the Mahabharata.,{'google_bleu': 0.06976744186046512},False
266,How does Sauti feel about reciting the Mahabharata?,Sauti expresses great pleasure in reciting the Mahabharata.,Sauti feels that reciting the Mahabharata is a good way to,{'google_bleu': 0.18421052631578946},True
267,Who entered the sacrificial pavilion of King Janamejaya?,"The high-souled Rishi, along with his disciples all conversant with the Vedas and their branches, entered the sacrificial pavilion of King Janamejaya.",The sacrificial pavilion of King Janamejaya was occupied by the,{'google_bleu': 0.1702127659574468},True
268,How did King Janamejaya welcome the Rishi?,"King Janamejaya advanced quickly with his followers and relatives in great joy and offered the Rishi a golden seat, similar to how Indra offered a seat to Vrihaspati.",King Janamejaya welcomed the Rishi with open arms and a smile.,{'google_bleu': 0.08771929824561403},True
269,What offerings did King Janamejaya present to the Rishi?,"King Janamejaya offered the Rishi water to wash his feet and mouth, the Arghya, and kine (cows).",King Janamejaya presented the Rishi with offerings of a sacri,{'google_bleu': 0.07317073170731707},True
270,How did Vyasa feel after accepting the offerings from King Janamejaya?,Vyasa became much gratified after accepting the offerings and ordered the kine not to be slain.,Vyasa felt a sense of relief after accepting the offerings from King Janame,{'google_bleu': 0.1774193548387097},True
271,Why did the Kurus become jealous of the Pandavas?,"The Kurus became jealous of the Pandavas because they were gifted with physical strength, energy, power of mind, popularity with the citizens, and good fortune.","The Kurus became jealous of the Pandavas because they were gifted with physical strength, energy,",{'google_bleu': 0.543859649122807},True
272,Who were the main individuals responsible for persecuting the Pandavas?,"The main individuals responsible for persecuting the Pandavas were Duryodhana, Karna, and the son of Suvala (Duryodhana's uncle).","Duryodhana, Karna, and the son of Suvala,",{'google_bleu': 0.3488372093023256},True
273,How did Bhima escape the poison given to him by Duryodhana?,"Bhima, after being given poison, digested it with the food he consumed, which neutralized its effects.",Bhima escaped the poison given to him by Duryodhana.,{'google_bleu': 0.06756756756756757},False
274,Who played a crucial role in protecting and rescuing the Pandavas from the persecutions of the Kurus?,"Vidura, the high-minded individual, played a crucial role in protecting and rescuing the Pandavas from the evil designs of the Kurus.","Duryodhana, Karna, and Suvala, with the former",{'google_bleu': 0.044444444444444446},False
275,Why did Yudhishthira send Arjuna into the woods?,"Yudhishthira sent Arjuna into the woods for some reason, as mentioned in the text.","Yudhishthira sent his brother Arjuna into the woods, and",{'google_bleu': 0.2413793103448276},True
276,Whom did Arjuna marry during his stay in the woods?,"Arjuna married Subhadra, the younger sister of Vasudeva Krishna, during his stay in the woods.","Arjuna married Vibhatsu, the tiger among men, during his",{'google_bleu': 0.18181818181818182},True
277,How did Arjuna obtain the bow Gandiva?,"Arjuna obtained the bow Gandiva from Agni, the carrier of the sacrificial butter, during the incident in the forest of Khandava.",Arjuna obtained the bow Gandiva from Krishna in Dwaravati.,{'google_bleu': 0.2222222222222222},False
278,Who built the celestial palace for the Pandavas?,"Maya, the great Asura, built the celestial palace for the Pandavas as an expression of gratitude.","Yudhishthira the just, gifted with great energy and prowess",{'google_bleu': 0.04285714285714286},True
279,Why did the Pandavas have to spend thirteen years in exile?,"The wicked Duryodhana deceived Yudhishthira through a game of dice and sent the Pandavas into the woods for twelve years, followed by an additional year in concealment, making the period a full thirteen years.",The Pandavas spent thirteen years in exile in the woods.,{'google_bleu': 0.07042253521126761},True
280,Why does Janamejaya want to hear the Mahabharata in full?,"Janamejaya expresses his curiosity and dissatisfaction with the brief narration, desiring to hear the wonderful Mahabharata history fully.",Janamejaya wants to hear the Mahabharata in full.,{'google_bleu': 0.12162162162162163},True
281,What is the reason behind the virtuous ones slaying those they should not have slain?,"Janamejaya seeks to know the cause that compelled the virtuous ones to kill those whom they should not have killed, yet they are applauded by people.",The reason behind the virtuous ones killing those they should not have slain,{'google_bleu': 0.16037735849056603},True
282,Why did Bhima restrain his anger despite being wronged?,"Janamejaya wants to understand why Bhima, with his mighty strength, controlled his anger even when he was being wronged.",Bhima restrained his anger despite being wronged.,{'google_bleu': 0.12195121951219512},True
283,Why didn't Draupadi burn the sons of Dhritarashtra with her wrathful eyes when she was wronged?,Janamejaya seeks an explanation for Draupadi's restraint despite being wronged and having the ability to punish the sons of Dhritarashtra.,Draupadi burned the sons of Dhritarashtra with her wrat,{'google_bleu': 0.1282051282051282},True
284,"Why did the Pandavas, including Yudhishthira, follow the gambling addiction of Yudhishthira and endure affliction?","Janamejaya wants to know why the Pandavas, including Bhima, Arjuna, Nakula, and Sahadeva, followed Yudhishthira's gambling habit and endured affliction despite being wronged.","The Pandavas, including Yudhishthira, followed the gambling addiction of Yu",{'google_bleu': 0.1},True
285,What did the gods advise the king to do?,"The gods advised the king to protect virtue on earth attentively and rigidly, as it would in turn protect the universe.",The gods advised the king to take care so that virtue may not sustain a diminu,{'google_bleu': 0.22093023255813954},True
286,What qualities and virtues are found in the king's dominion of Chedi?,"In the kingdom of Chedi, the cities and towns are devoted to virtue, the people are honest and contented, and they never lie even in jest. Sons do not divide their wealth with their fathers and are mindful of their parents' welfare. Cattle are well-fed and not overworked.",The king's dominion of Chedi is characterized by the virtues,{'google_bleu': 0.01904761904761905},False
287,What special gifts did Indra offer to the king?,Indra offered the king a crystal car capable of flying through mid-air like a celestial being. He also gave the king a triumphal garland of unfading lotuses that would protect him from being wounded in battle.,"Indra offered the king special gifts, including a gift of a sa",{'google_bleu': 0.08904109589041095},True
288,What did Indra say about the king's dominion and its wealth?,"Indra praised the king's dominion, saying it is full of riches, gems, and precious stones, and contains abundant mineral wealth. He described it as a region with delightful surroundings, favorable climate, and abundant resources for enjoyment and fertility.",Indra said that the king's dominion and wealth were a result of,{'google_bleu': 0.06179775280898876},True
289,What did Indra say about the king and their relationship?,"Indra expressed his friendship and affection for the king, considering him dear and stating that although Indra is from heaven and the king is from earth, they share a bond. Indra encouraged the king to dwell in the delightful region on earth and enjoy its blessings.",Indra said that the king and the king were in a relationship and that they,{'google_bleu': 0.07731958762886598},False
290,Why did the king go hunting in the woods?,"The Pitris of Vasu requested the king to slay deer for their Sraddha (funeral ceremony), and believing that the command of the Pitris should not be disobeyed, the king went hunting.",The king went hunting in the woods thinking of Girika alone who was gifted with great,{'google_bleu': 0.06521739130434782},True
291,What did the king see when he was in the woods?,"The king saw a beautiful Asoka tree adorned with dense foliage and flowers, providing shade. The entire forest was filled with various trees like Asokas, Champakas, Punnagas, Karnikaras, and more, emitting fragrant flowers and sweet fruits.","The king saw Girika, the wife of Vasu, purifying herself by a",{'google_bleu': 0.052941176470588235},False
292,Why did the king approach the swift hawk?,"The king, being acquainted with the subtle truths of Dharma and Artha, approached the swift hawk and asked it to carry his semen (seed) to his wife Girika, as her season had arrived.","The king approached the swift hawk, thinking that Girika was gifted with great beauty and",{'google_bleu': 0.11333333333333333},False
293,Who was Girika and why was she on the king's mind?,"Girika was the wife of Vasu, and the king, possessed by desire, was roaming in the woods thinking of her because she possessed great beauty and was like another Sri (goddess of fortune).","Girika was the wife of Vasu, who was gifted with great beauty and like unto",{'google_bleu': 0.2},True
294,What was the atmosphere in the woods during the king's hunt?,"The woods were delightful, resembling the gardens of the king of the Gandharvas. The trees were adorned with Asokas, Champakas, Punnagas, Karnikaras, and other beautiful and sacred trees, emitting fragrant flowers and sweet fruits. The forest echoed with the sweet notes of the kokila (cuckoo) and the buzzing of bees.",The atmosphere was very pleasant and the king was able to see the sands,{'google_bleu': 0.029411764705882353},False
295,What did the ascetic create that enveloped the whole region in darkness?,The ascetic created a fog that enveloped the whole region in darkness.,The ascetic created a fog that enveloped the whole region in darkness.,{'google_bleu': 1.0},True
296,Why was the maiden worried about accepting the embraces of the Rishi?,"The maiden was worried that accepting the embraces of the Rishi would sully her virginity, and she would not be able to bear life or return home.",The maiden was worried about accepting the embraces of the Rishi.,{'google_bleu': 0.2636363636363636},False
297,What boon did the maiden ask for?,The maiden asked for the boon that her body might emit a sweet scent instead of the fish-odor that it had.,"The maiden asked for a boon, which was to be sullied by",{'google_bleu': 0.14634146341463414},True
298,What were the two names by which the maiden became known among men?,The maiden became known among men by the name Gandhavati (the sweet-scented one) and Yojanagandha (one who scatters her scent for a yojana all around).,The maiden became known among men by two names: 'O best of Brahman,{'google_bleu': 0.19298245614035087},True
299,Who was born in the womb of Ganga through king Santanu?,"Bhishma, who was of great energy and fame and of immeasurable splendour, and sprung from the component parts of the Vasus, was born in the womb of Ganga through king Santanu.","Bhishma, of great energy and fame and sprung from the component parts of the",{'google_bleu': 0.34328358208955223},False
300,Why was Dharma born as a Sudra?,"Dharma was born as a Sudra in the form of the learned Vidura of pure body because of the curse of the Rishi Animandavya, who was falsely accused of theft and impaled. Dharma was cursed due to his role in the killing of a Brahmana, which is considered more heinous.",Dharma was born as a Sudra.,{'google_bleu': 0.09047619047619047},True
301,Who was the Suta born of Kunti in her maidenhood through Surya?,The Suta born of Kunti in her maidenhood through Surya was the person being referred to in the text.,The Suta was born of Kunti in her maidenhood through Surya,{'google_bleu': 0.40540540540540543},True
302,Who was born of Devaki through Vasudeva?,"Vishnu himself, of world-wide fame and worshipped by all the worlds, was born of Devaki through Vasudeva, for the benefit of the three worlds.",The Rishi of the name of Animandavya was born of Devaki through,{'google_bleu': 0.16981132075471697},True
303,How is Vishnu described in terms of his attributes and characteristics?,"Vishnu is described as the invisible cause of all, the all-pervading soul, the Creator of the universe, the Lord of all, the universal soul, the immutable, the material out of which the universe is created, the controlling lord, the source of this universe, and many other divine attributes and characteristics.",Vishnu is described in terms of his attributes and characteristics.,{'google_bleu': 0.07264957264957266},True
304,Who began to be incarnated on earth among various creatures?,"The sons of Diti (Daityas), who were repeatedly defeated in war by the sons of Aditi (celestials) and deprived of sovereignty and heaven, began to be incarnated on the earth among various creatures.",The Asuras began to be incarnated on earth among various creatures.,{'google_bleu': 0.18831168831168832},True
305,What did the incarnated Asuras do on earth?,"The incarnated Asuras, possessed of great powers and desiring sovereignty, began to oppress and terrify all creatures. They filled the earth with their presence, oppressing Brahmanas, Kshatriyas, Vaisyas, Sudras, and all other creatures. They even insulted the great Rishis in their hermitages.",The incarnated Asuras were born amongst the sons of Diti,{'google_bleu': 0.039603960396039604},True
306,In what forms were the incarnated Asuras born on earth?,"The incarnated Asuras were born on earth among various creatures such as kine, horses, asses, camels, buffaloes, Rakshasas, elephants, and deer.",The incarnated Asuras were born in kingly forms among the sons of,{'google_bleu': 0.13636363636363635},False
307,Who commanded the gods to ease the Earth of her burden and seek strife with the Asuras?,The Creator (Brahma) commanded the gods to ease the Earth of her burden and seek strife with the Asuras.,The Creator commanded the gods to ease the Earth of her burden and seek strife,{'google_bleu': 0.5975609756097561},True
308,Who did the gods and other celestial beings go to after resolving to come down to earth?,"The gods and other celestial beings went to Narayana, the slayer of all foes, at Vaikunth.","The gods and other celestial beings went to the Asuras, the As",{'google_bleu': 0.4142857142857143},False
309,What did Indra say to Narayana after the gods and celestial beings went to him?,"Indra addressed Narayana, saying, ""Be incarnate.""",Indra said to Narayana that he would not be able to do anything to,{'google_bleu': 0.04},False
310,How did Narayana respond to Indra's request?,"Narayana replied, ""Let it be.""",Narayana responded to Indra's request by saying that he was not a,{'google_bleu': 0.023809523809523808},True
311,Who are the six spiritual sons of Brahman?,"Marichi, Atri, Angiras, Pulastya, Pulaha, and Kratu are the six spiritual sons of Brahman.","The six spiritual sons of Brahman are Marichi, Atri, Angira",{'google_bleu': 0.33783783783783783},True
312,"How many daughters did Daksha have, and what are their names?","Daksha had thirteen daughters. Their names are Aditi, Diti, Danu, Kala, Danayu, Sinhika, Krodha, Pradha, Viswa, Vinata, Kapila, Muni, and Kadru.","Daksha had six daughters, and what are their names?",{'google_bleu': 0.06716417910447761},True
313,Who are the twelve Adityas?,"The twelve Adityas, born from Aditi, are Dhatri, Mitra, Aryaman, Sakra, Varuna, Ansa, Vaga, Vivaswat, Usha, Savitri, Tvashtri, and Vishnu.","The twelve Adityas are the twelve women of great good, and they are the daughters",{'google_bleu': 0.07692307692307693},True
314,"Who were the sons of Hiranyakasipu, the son of Diti?","The sons of Hiranyakasipu were Prahlada, Sahradha, Anuhrada, Sivi, and Vashkala.","The sons of Hiranyakasipu, the son of Diti,",{'google_bleu': 0.20689655172413793},True
